รายการ,เมนูอาหาร,ราคา
1,ทัคคาลบิ เนื้อสามชั้น,259
2,ทัคคาลบิ สันคอ,259
3,หม้อไฟกิมจิ,260
4,ข้าวยำบิบิมบับ,149
5,จัมปง,149
6,Set lockdown [ C ] ฟู๊ดดด,179
7,Set lockdown [ B ],169
8,Set lockdown [ A ],149
9,ข้าวกุ้งเด้งคอนชีส,205
10,มาม่าไก่กรอบ,159
