รายการ,เมนูอาหาร,ราคา
1,ปังวิปโอริโอ้ช็อค,39
2,ปังพริกเผาหมูหยอง 2 แผ่น,45
3,ปังสตอเบอรี่,20
4,ปังเย็นภูเขาไฟ,59
5,ปังเย็นเผือกหอม,49
6,นมสดบราวน์ชูก้า,30
7,นมชมพู,30
8,สตอเบอรี่โยเกิร์ต,45
9,ไข่กระทะ,35
10,ปังกล้วยฝุ่น+กล้วยช็อคโกแลต,45
