รายการ,เมนูอาหาร,ราคา
1,BBQ ไก่,149
2,พิซซ่ามาร์การริด้า,299
3,ข้าวไข่ข้นปู,149
4,ข้าวผัดหมูย่างไข่ดอง,289
5,สเต็กแซลมอน ย่างซอสเทอริยากิ,365
6,สปาเก็ตตี้เส้นดำผัดขี้เมาทะเล,249
7,พิซซ่าผักโขม เบคอน เห็ด,359
8,croffle,149
9,ยำเเซลมอนวาซาบิ,269
10,ขาหมูเยอรมัน,519
