รายการ,เมนูอาหาร,ราคา
1,เบอร์เกอร์ดับเบิลหมู,89
2,ไมโลทูโทน,60
3,เบอร์เกอร์เนื้อ,69
4,เบอร์เกอร์ดับเบิ้ลเนื้อ,129
5,ฮ็อตด็อกแฮมเบคอน,99
6,ฮ็อตด็อก,69
7,เบอร์เกอร์หมู,69
8,เบอร์เกอร์หมู ไข่ดาว,69
9,เบอร์เกอร์ไก่,69
10,ชาเย็นทูโทน,60
