รายการ,เมนูอาหาร,ราคา
1,ปีกไก่สไปซ์ซี่,89
2,สเต็กไก่สไปซ์ซี่ มันบดน้ำเกรวี่ ผักสลัด,179
3,แซลม่อนสลัด,110
4,Strawberry Shortcake,80
5,ข้าวเซ็ตน้ำพริกปลาทู ไข่ชะอม,95
6,ข้าวกะเพราหมึก,85
7,นูเทลล่าโทสต์,163
8,แพนเค้กเซ็ต,129
9,ครัวซองท์,80
10,หมูกรอบคั่วพริกเกลือ,90
