รายการ,เมนูอาหาร,ราคา
1,ข้าวหน้าปลาซาบะ,119
2,อูด้งแกงหะหรี่หมูทอด,149
3,ฟูโตะมากิ,119
4,ท้องปลาแซลม่อน ซาซิมิ,249
5,แซลม่อนสไปซี่ไข่กุ้ง,219
6,แซลม่อนดอง,219
7,เซ็ตปลาดิบรวม,739
8,ซูชิทูน่า,30
9,กุ้งเทมปุระ,119
10,แคลิฟอร์เนีย เอบิ เท็น,169
