รายการ,เมนูอาหาร,ราคา
1,ก๋วยเตี๋ยวคั่วไก่,80
2,สปาเก็ตตี้ไส้กรอกเยอรมันโฮมเมด,159
3,ข้าวไก่ซอสน้ำมันงา,98
4,พิซซ่าไส้กรอกและแฮม,239
5,ผักโขมอบชีส,129
6,ข้าวผัดกุ้ง,169
7,ข้าวกระเพราไฟลุก (เนื้อโคขุน),149
8,สปาเก็ตตี้คาโบนาร่า,179
9,สลัดผักรวม เห็ดออรินจิย่าง ซอสงาญี่ปุ่นโฮมเมด,168
10,ข้าวปูนิ่มผัดพริกเกลือ,179
