รายการ,เมนูอาหาร,ราคา
1,ข้าวปลากระป๋องผัดไข่,60
2,ข้าวไก่กระเทียม,50
3,ยำหมูยอไข่แดงเค็ม,50
4,แซลม่อนดองซีอิ๊ว,50
5,ยำหมูสามชั้นทอด,85
6,ยำแซลม่อน,160
7,ยำมะม่วงปลากรอบ,60
8,สามชั้นทอด,65
9,ปีกไก่บนทอด,60
10,ยำหนวดปลาหมึก,85
