รายการ,เมนูอาหาร,ราคา
1,ชาพีช,60
2,Black Peach,90
3,นมสดปั่น,60
4,banoffee,60
5,เค้กยิ้ม,60
6,สลัดปูอัด,105
7,สลัดทูน่า,105
8,เค้กโอริโอ้,60
9,สปาเก็ตตี้ซอสไก่,135
10,สเต็กหมูพริกไทยดำ,135
